,train,val,test
0,IN Brain-0007(a),IN Brain-0086(b),IN Brain-0158(a)
1,IN Brain-0007(b),IN Brain-0031(d),IN Brain-0062(a)
2,IN Brain-0012(a),IN Brain-0035(a),IN Brain-0363(a)
3,IN Brain-0012(b),IN Brain-0060,IN Brain-0249
4,IN Brain-0015(a),IN Brain-0030,IN Brain-0077(b)
5,IN Brain-0015(b),IN Brain-0321(b),IN Brain-0225
6,IN Brain-0025(a),IN Brain-0292,IN Brain-0108(b)
7,IN Brain-0031(a),IN Brain-0213,IN Brain-0025(b)
8,IN Brain-0031(b),IN Brain-0321(a),IN Brain-0044(b)
9,IN Brain-0031(c),IN Brain-0108(d),IN Brain-0241
10,IN Brain-0034,IN Brain-0325(b),IN Brain-0260(b)
11,IN Brain-0035(b),IN Brain-0090(b),IN Brain-0174
12,IN Brain-0042,IN Brain-0181(b),IN Brain-0269
13,IN Brain-0044(a),IN Brain-0071(a),IN Brain-0209(a)
14,IN Brain-0045,IN Brain-0172,IN Brain-0048
15,IN Brain-0047,IN Brain-0264,IN Brain-0324(a)
16,IN Brain-0050(a),IN Brain-0020,IN Brain-0073(a)
17,IN Brain-0050(b),IN Brain-0327(b),IN Brain-0247
18,IN Brain-0052(a),IN Brain-0186(a),IN Brain-0195
19,IN Brain-0052(b),IN Brain-0193(b),IN Brain-0255(b)
20,IN Brain-0052(c),IN Brain-0095(c),IN Brain-0183(b)
21,IN Brain-0057,IN Brain-0289,IN Brain-0079(b)
22,IN Brain-0062(b),IN Brain-0129,IN Brain-0284(b)
23,IN Brain-0065,IN Brain-0111,IN Brain-0072(d)
24,IN Brain-0067,IN Brain-0301,IN Brain-0323(a)
25,IN Brain-0068(a),IN Brain-0114(a),IN Brain-0088(b)
26,IN Brain-0068(b),IN Brain-0072(a),IN Brain-0105(a)
27,IN Brain-0069(a),IN Brain-0122,IN Brain-0190
28,IN Brain-0069(b),IN Brain-0133,IN Brain-0192(a)
29,IN Brain-0074,IN Brain-0262(a),IN Brain-0255(a)
30,IN Brain-0076,IN Brain-0046,IN Brain-0164
31,IN Brain-0077(a),IN Brain-0281,IN Brain-0080(a)
32,IN Brain-0077(c),IN Brain-0091,IN Brain-0248
33,IN Brain-0084,IN Brain-0113,IN Brain-0244
34,IN Brain-0086(a),IN Brain-0201,IN Brain-0168(a)
35,IN Brain-0086(c),IN Brain-0246,IN Brain-0155(a)
36,IN Brain-0089(a),IN Brain-0146,IN Brain-0148
37,IN Brain-0089(b),IN Brain-0079(a),IN Brain-0093
38,IN Brain-0090(a),IN Brain-0316(b),IN Brain-0232(b)
39,IN Brain-0097,IN Brain-0143,IN Brain-0070(a)
40,IN Brain-0108(a),IN Brain-0202(a),IN Brain-0004(a)
41,IN Brain-0108(c),IN Brain-0215,IN Brain-0234(b)
42,IN Brain-0112(a),IN Brain-0058(a),IN Brain-0038
43,IN Brain-0112(b),IN Brain-0070(b),IN Brain-0202(b)
44,IN Brain-0112(c),IN Brain-0187(a),IN Brain-0200
45,IN Brain-0115,IN Brain-0297(b),IN Brain-0261(b)
46,IN Brain-0121,IN Brain-0263(a),IN Brain-0187(b)
47,IN Brain-0123,IN Brain-0064(a),IN Brain-0081(a)
48,IN Brain-0124,,
49,IN Brain-0149,,
50,IN Brain-0150,,
51,IN Brain-0152,,
52,IN Brain-0158(b),,
53,IN Brain-0159,,
54,IN Brain-0162,,
55,IN Brain-0165,,
56,IN Brain-0175,,
57,IN Brain-0176(a),,
58,IN Brain-0176(b),,
59,IN Brain-0178,,
60,IN Brain-0181(a),,
61,IN Brain-0204,,
62,IN Brain-0210,,
63,IN Brain-0222,,
64,IN Brain-0224,,
65,IN Brain-0235(a),,
66,IN Brain-0235(b),,
67,IN Brain-0236(a),,
68,IN Brain-0236(b),,
69,IN Brain-0237(a),,
70,IN Brain-0237(b),,
71,IN Brain-0237(c),,
72,IN Brain-0239(a),,
73,IN Brain-0239(b),,
74,IN Brain-0245,,
75,IN Brain-0250,,
76,IN Brain-0251,,
77,IN Brain-0252(a),,
78,IN Brain-0252(b),,
79,IN Brain-0253(a),,
80,IN Brain-0253(b),,
81,IN Brain-0259(a),,
82,IN Brain-0259(b),,
83,IN Brain-0260(a),,
84,IN Brain-0266,,
85,IN Brain-0271(a),,
86,IN Brain-0271(b),,
87,IN Brain-0274,,
88,IN Brain-0275,,
89,IN Brain-0276,,
90,IN Brain-0278,,
91,IN Brain-0280,,
92,IN Brain-0294,,
93,IN Brain-0313(a),,
94,IN Brain-0313(b),,
95,IN Brain-0315(a),,
96,IN Brain-0315(b),,
97,IN Brain-0325(a),,
98,IN Brain-0331(b),,
99,IN Brain-0351,,
100,IN Brain-0353,,
101,IN Brain-0358,,
102,IN Brain-0363(b),,
103,IN Brain-0365,,
104,IN Brain-0369,,
105,IN Brain-0008(a),,
106,IN Brain-0008(b),,
107,IN Brain-0013(a),,
108,IN Brain-0013(b),,
109,IN Brain-0021,,
110,IN Brain-0024,,
111,IN Brain-0029(a),,
112,IN Brain-0029(b),,
113,IN Brain-0029(c),,
114,IN Brain-0036(a),,
115,IN Brain-0036(b),,
116,IN Brain-0039,,
117,IN Brain-0040(a),,
118,IN Brain-0040(b),,
119,IN Brain-0041(a),,
120,IN Brain-0041(b),,
121,IN Brain-0059(a),,
122,IN Brain-0059(b),,
123,IN Brain-0059(c),,
124,IN Brain-0061(a),,
125,IN Brain-0061(b),,
126,IN Brain-0063(a),,
127,IN Brain-0063(b),,
128,IN Brain-0063(c),,
129,IN Brain-0066,,
130,IN Brain-0071(c),,
131,IN Brain-0072(b),,
132,IN Brain-0072(c),,
133,IN Brain-0073(b),,
134,IN Brain-0080(b),,
135,IN Brain-0082,,
136,IN Brain-0085(a),,
137,IN Brain-0085(b),,
138,IN Brain-0085(c),,
139,IN Brain-0085(d),,
140,IN Brain-0088(a),,
141,IN Brain-0092(a),,
142,IN Brain-0092(b),,
143,IN Brain-0094(a),,
144,IN Brain-0094(b),,
145,IN Brain-0094(c),,
146,IN Brain-0094(d),,
147,IN Brain-0094(e),,
148,IN Brain-0094(f),,
149,IN Brain-0094(g),,
150,IN Brain-0094(i),,
151,IN Brain-0094(j),,
152,IN Brain-0095(a),,
153,IN Brain-0095(b),,
154,IN Brain-0096(a),,
155,IN Brain-0096(b),,
156,IN Brain-0098(a),,
157,IN Brain-0098(b),,
158,IN Brain-0100,,
159,IN Brain-0101,,
160,IN Brain-0102(a),,
161,IN Brain-0102(b),,
162,IN Brain-0103,,
163,IN Brain-0105(b),,
164,IN Brain-0106,,
165,IN Brain-0107,,
166,IN Brain-0114(b),,
167,IN Brain-0116(a),,
168,IN Brain-0116(b),,
169,IN Brain-0117,,
170,IN Brain-0118(a),,
171,IN Brain-0118(b),,
172,IN Brain-0119,,
173,IN Brain-0120,,
174,IN Brain-0125,,
175,IN Brain-0128,,
176,IN Brain-0131,,
177,IN Brain-0132,,
178,IN Brain-0134,,
179,IN Brain-0135,,
180,IN Brain-0136,,
181,IN Brain-0137,,
182,IN Brain-0139,,
183,IN Brain-0141,,
184,IN Brain-0142,,
185,IN Brain-0144,,
186,IN Brain-0145,,
187,IN Brain-0151,,
188,IN Brain-0155(b),,
189,IN Brain-0156(a),,
190,IN Brain-0156(b),,
191,IN Brain-0157,,
192,IN Brain-0163(a),,
193,IN Brain-0163(b),,
194,IN Brain-0166,,
195,IN Brain-0167,,
196,IN Brain-0168(b),,
197,IN Brain-0170,,
198,IN Brain-0171(a),,
199,IN Brain-0171(b),,
200,IN Brain-0173(a),,
201,IN Brain-0173(b),,
202,IN Brain-0179(a),,
203,IN Brain-0179(b),,
204,IN Brain-0182(a),,
205,IN Brain-0182(b),,
206,IN Brain-0183(a),,
207,IN Brain-0185(a),,
208,IN Brain-0185(b),,
209,IN Brain-0186(b),,
210,IN Brain-0188,,
211,IN Brain-0189,,
212,IN Brain-0192(b),,
213,IN Brain-0193(a),,
214,IN Brain-0196(a),,
215,IN Brain-0196(b),,
216,IN Brain-0197(a),,
217,IN Brain-0197(b),,
218,IN Brain-0205,,
219,IN Brain-0206,,
220,IN Brain-0207,,
221,IN Brain-0208,,
222,IN Brain-0209(b),,
223,IN Brain-0216(a),,
224,IN Brain-0216(b),,
225,IN Brain-0217(a),,
226,IN Brain-0217(b),,
227,IN Brain-0219,,
228,IN Brain-0221,,
229,IN Brain-0223,,
230,IN Brain-0226,,
231,IN Brain-0227,,
232,IN Brain-0228(a),,
233,IN Brain-0228(b),,
234,IN Brain-0229,,
235,IN Brain-0231,,
236,IN Brain-0233(a),,
237,IN Brain-0233(b),,
238,IN Brain-0254,,
239,IN Brain-0256(a),,
240,IN Brain-0256(b),,
241,IN Brain-0257,,
242,IN Brain-0258(a),,
243,IN Brain-0258(b),,
244,IN Brain-0262(b),,
245,IN Brain-0265(a),,
246,IN Brain-0265(b),,
247,IN Brain-0267,,
248,IN Brain-0268,,
249,IN Brain-0270,,
250,IN Brain-0272,,
251,IN Brain-0273,,
252,IN Brain-0277,,
253,IN Brain-0282,,
254,IN Brain-0284(a),,
255,IN Brain-0285,,
256,IN Brain-0286,,
257,IN Brain-0290(a),,
258,IN Brain-0290(b),,
259,IN Brain-0291,,
260,IN Brain-0295,,
261,IN Brain-0298(a),,
262,IN Brain-0298(b),,
263,IN Brain-0302(a),,
264,IN Brain-0302(b),,
265,IN Brain-0305,,
266,IN Brain-0307(a),,
267,IN Brain-0307(b),,
268,IN Brain-0309,,
269,IN Brain-0310,,
270,IN Brain-0311(a),,
271,IN Brain-0311(b),,
272,IN Brain-0312,,
273,IN Brain-0314(a),,
274,IN Brain-0314(b),,
275,IN Brain-0317(a),,
276,IN Brain-0317(b),,
277,IN Brain-0319,,
278,IN Brain-0322,,
279,IN Brain-0323(b),,
280,IN Brain-0324(b),,
281,IN Brain-0327(a),,
282,IN Brain-0328,,
283,IN Brain-0338,,
284,IN Brain-0339,,
285,IN Brain-0341,,
286,IN Brain-0342,,
287,IN Brain-0343(a),,
288,IN Brain-0343(b),,
289,IN Brain-0344,,
290,IN Brain-0346,,
291,IN Brain-0347,,
292,IN Brain-0354,,
293,IN Brain-0355,,
294,IN Brain-0356,,
295,IN Brain-0360,,
296,IN Brain-0364,,
297,IN Brain-0366,,
298,IN Brain-0367,,
299,IN Brain-0368,,
300,IN Brain-0370,,
301,IN Brain-0002,,
302,IN Brain-0004(b),,
303,IN Brain-0056,,
304,IN Brain-0058(b),,
305,IN Brain-0064(b),,
306,IN Brain-0075,,
307,IN Brain-0078,,
308,IN Brain-0081(b),,
309,IN Brain-0099,,
310,IN Brain-0104(a),,
311,IN Brain-0104(b),,
312,IN Brain-0104(c),,
313,IN Brain-0109(a),,
314,IN Brain-0109(b),,
315,IN Brain-0110(a),,
316,IN Brain-0110(b),,
317,IN Brain-0126,,
318,IN Brain-0130,,
319,IN Brain-0138,,
320,IN Brain-0140,,
321,IN Brain-0147,,
322,IN Brain-0153,,
323,IN Brain-0154,,
324,IN Brain-0160(a),,
325,IN Brain-0160(b),,
326,IN Brain-0161(a),,
327,IN Brain-0161(b),,
328,IN Brain-0169,,
329,IN Brain-0180(a),,
330,IN Brain-0180(b),,
331,IN Brain-0191(a),,
332,IN Brain-0191(b),,
333,IN Brain-0194(a),,
334,IN Brain-0194(b),,
335,IN Brain-0198,,
336,IN Brain-0199,,
337,IN Brain-0203,,
338,IN Brain-0211,,
339,IN Brain-0214,,
340,IN Brain-0218(a),,
341,IN Brain-0218(b),,
342,IN Brain-0220,,
343,IN Brain-0232(a),,
344,IN Brain-0234(a),,
345,IN Brain-0238(a),,
346,IN Brain-0238(b),,
347,IN Brain-0238(c),,
348,IN Brain-0240(a),,
349,IN Brain-0240(b),,
350,IN Brain-0242(a),,
351,IN Brain-0242(b),,
352,IN Brain-0243,,
353,IN Brain-0261(a),,
354,IN Brain-0263(b),,
355,IN Brain-0279,,
356,IN Brain-0283,,
357,IN Brain-0287,,
358,IN Brain-0288,,
359,IN Brain-0296(a),,
360,IN Brain-0296(b),,
361,IN Brain-0297(a),,
362,IN Brain-0299(a),,
363,IN Brain-0299(b),,
364,IN Brain-0304,,
365,IN Brain-0308,,
366,IN Brain-0316(a),,
367,IN Brain-0318(a),,
368,IN Brain-0318(b),,
369,IN Brain-0320,,
370,IN Brain-0326,,
371,IN Brain-0329(a),,
372,IN Brain-0329(b),,
373,IN Brain-0330(a),,
374,IN Brain-0330(b),,
375,IN Brain-0334(a),,
376,IN Brain-0334(b),,
377,IN Brain-0335,,
378,IN Brain-0340,,
379,IN Brain-0345,,
380,IN Brain-0348,,
381,IN Brain-0349,,
382,IN Brain-0350,,
383,IN Brain-0352,,
384,IN Brain-0359,,
385,IN Brain-0361,,
