,train,val,test
IN Brain-0007(a),True,False,False
IN Brain-0007(b),True,False,False
IN Brain-0012(a),True,False,False
IN Brain-0012(b),True,False,False
IN Brain-0015(a),True,False,False
IN Brain-0015(b),True,False,False
IN Brain-0025(a),True,False,False
IN Brain-0031(a),True,False,False
IN Brain-0031(b),True,False,False
IN Brain-0031(c),True,False,False
IN Brain-0034,True,False,False
IN Brain-0035(b),True,False,False
IN Brain-0042,True,False,False
IN Brain-0044(a),True,False,False
IN Brain-0045,True,False,False
IN Brain-0047,True,False,False
IN Brain-0050(a),True,False,False
IN Brain-0050(b),True,False,False
IN Brain-0052(a),True,False,False
IN Brain-0052(b),True,False,False
IN Brain-0052(c),True,False,False
IN Brain-0057,True,False,False
IN Brain-0062(b),True,False,False
IN Brain-0065,True,False,False
IN Brain-0067,True,False,False
IN Brain-0068(a),True,False,False
IN Brain-0068(b),True,False,False
IN Brain-0069(a),True,False,False
IN Brain-0069(b),True,False,False
IN Brain-0074,True,False,False
IN Brain-0076,True,False,False
IN Brain-0077(a),True,False,False
IN Brain-0077(c),True,False,False
IN Brain-0084,True,False,False
IN Brain-0086(a),True,False,False
IN Brain-0086(c),True,False,False
IN Brain-0089(a),True,False,False
IN Brain-0089(b),True,False,False
IN Brain-0090(a),True,False,False
IN Brain-0097,True,False,False
IN Brain-0108(a),True,False,False
IN Brain-0108(c),True,False,False
IN Brain-0112(a),True,False,False
IN Brain-0112(b),True,False,False
IN Brain-0112(c),True,False,False
IN Brain-0115,True,False,False
IN Brain-0121,True,False,False
IN Brain-0123,True,False,False
IN Brain-0124,True,False,False
IN Brain-0149,True,False,False
IN Brain-0150,True,False,False
IN Brain-0152,True,False,False
IN Brain-0158(b),True,False,False
IN Brain-0159,True,False,False
IN Brain-0162,True,False,False
IN Brain-0165,True,False,False
IN Brain-0175,True,False,False
IN Brain-0176(a),True,False,False
IN Brain-0176(b),True,False,False
IN Brain-0178,True,False,False
IN Brain-0181(a),True,False,False
IN Brain-0204,True,False,False
IN Brain-0210,True,False,False
IN Brain-0222,True,False,False
IN Brain-0224,True,False,False
IN Brain-0235(a),True,False,False
IN Brain-0235(b),True,False,False
IN Brain-0236(a),True,False,False
IN Brain-0236(b),True,False,False
IN Brain-0237(a),True,False,False
IN Brain-0237(b),True,False,False
IN Brain-0237(c),True,False,False
IN Brain-0239(a),True,False,False
IN Brain-0239(b),True,False,False
IN Brain-0245,True,False,False
IN Brain-0250,True,False,False
IN Brain-0251,True,False,False
IN Brain-0252(a),True,False,False
IN Brain-0252(b),True,False,False
IN Brain-0253(a),True,False,False
IN Brain-0253(b),True,False,False
IN Brain-0259(a),True,False,False
IN Brain-0259(b),True,False,False
IN Brain-0260(a),True,False,False
IN Brain-0266,True,False,False
IN Brain-0271(a),True,False,False
IN Brain-0271(b),True,False,False
IN Brain-0274,True,False,False
IN Brain-0275,True,False,False
IN Brain-0276,True,False,False
IN Brain-0278,True,False,False
IN Brain-0280,True,False,False
IN Brain-0294,True,False,False
IN Brain-0313(a),True,False,False
