,train,val,test
0,IN Brain-0002,IN Brain-0008(b),IN Brain-0036(b)
1,IN Brain-0004(a),IN Brain-0012(a),IN Brain-0039
2,IN Brain-0004(b),IN Brain-0041(a),IN Brain-0044(b)
3,IN Brain-0007(a),IN Brain-0050(a),IN Brain-0048
4,IN Brain-0007(b),IN Brain-0056,IN Brain-0058(a)
5,IN Brain-0008(a),IN Brain-0058(b),IN Brain-0060
6,IN Brain-0012(b),IN Brain-0063(c),IN Brain-0062(a)
7,IN Brain-0013(a),IN Brain-0072(b),IN Brain-0076
8,IN Brain-0013(b),IN Brain-0072(d),IN Brain-0092(a)
9,IN Brain-0015(a),IN Brain-0085(c),IN Brain-0104(c)
10,IN Brain-0015(b),IN Brain-0085(d),IN Brain-0108(b)
11,IN Brain-0020,IN Brain-0086(a),IN Brain-0108(c)
12,IN Brain-0021,IN Brain-0094(f),IN Brain-0116(b)
13,IN Brain-0024,IN Brain-0101,IN Brain-0142
14,IN Brain-0025(a),IN Brain-0106,IN Brain-0148
15,IN Brain-0025(b),IN Brain-0115,IN Brain-0157
16,IN Brain-0029(a),IN Brain-0116(a),IN Brain-0158(b)
17,IN Brain-0029(b),IN Brain-0118(a),IN Brain-0160(b)
18,IN Brain-0029(c),IN Brain-0120,IN Brain-0163(b)
19,IN Brain-0030,IN Brain-0126,IN Brain-0173(a)
20,IN Brain-0031(a),IN Brain-0135,IN Brain-0176(b)
21,IN Brain-0031(b),IN Brain-0150,IN Brain-0191(b)
22,IN Brain-0031(c),IN Brain-0161(b),IN Brain-0193(a)
23,IN Brain-0031(d),IN Brain-0165,IN Brain-0203
24,IN Brain-0034,IN Brain-0190,IN Brain-0205
25,IN Brain-0035(a),IN Brain-0192(b),IN Brain-0211
26,IN Brain-0035(b),IN Brain-0193(b),IN Brain-0221
27,IN Brain-0036(a),IN Brain-0209(b),IN Brain-0223
28,IN Brain-0038,IN Brain-0214,IN Brain-0226
29,IN Brain-0040(a),IN Brain-0224,IN Brain-0253(b)
30,IN Brain-0040(b),IN Brain-0225,IN Brain-0255(b)
31,IN Brain-0041(b),IN Brain-0239(b),IN Brain-0256(a)
32,IN Brain-0042,IN Brain-0243,IN Brain-0268
33,IN Brain-0044(a),IN Brain-0249,IN Brain-0271(a)
34,IN Brain-0045,IN Brain-0259(a),IN Brain-0296(a)
35,IN Brain-0046,IN Brain-0284(a),IN Brain-0310
36,IN Brain-0047,IN Brain-0290(b),IN Brain-0315(b)
37,IN Brain-0050(b),IN Brain-0297(a),IN Brain-0317(b)
38,IN Brain-0052(a),IN Brain-0305,IN Brain-0321(b)
39,IN Brain-0052(b),IN Brain-0315(a),IN Brain-0325(a)
40,IN Brain-0052(c),IN Brain-0322,IN Brain-0327(b)
41,IN Brain-0057,IN Brain-0327(a),IN Brain-0335
42,IN Brain-0059(a),IN Brain-0329(a),IN Brain-0338
43,IN Brain-0059(b),IN Brain-0340,IN Brain-0339
44,IN Brain-0059(c),IN Brain-0344,IN Brain-0341
45,IN Brain-0061(a),IN Brain-0351,IN Brain-0345
46,IN Brain-0061(b),IN Brain-0356,IN Brain-0347
47,IN Brain-0062(b),IN Brain-0359,IN Brain-0349
48,IN Brain-0063(a),,
49,IN Brain-0063(b),,
50,IN Brain-0064(a),,
51,IN Brain-0064(b),,
52,IN Brain-0065,,
53,IN Brain-0066,,
54,IN Brain-0067,,
55,IN Brain-0068(a),,
56,IN Brain-0068(b),,
57,IN Brain-0069(a),,
58,IN Brain-0069(b),,
59,IN Brain-0070(a),,
60,IN Brain-0070(b),,
61,IN Brain-0071(a),,
62,IN Brain-0071(c),,
63,IN Brain-0072(a),,
