,train,val,test
0,IN Brain-0002,IN Brain-0004(b),IN Brain-0007(b)
1,IN Brain-0004(a),IN Brain-0013(b),IN Brain-0015(a)
2,IN Brain-0007(a),IN Brain-0015(b),IN Brain-0029(b)
3,IN Brain-0008(a),IN Brain-0020,IN Brain-0030
4,IN Brain-0008(b),IN Brain-0041(a),IN Brain-0040(b)
5,IN Brain-0012(a),IN Brain-0044(a),IN Brain-0061(b)
6,IN Brain-0012(b),IN Brain-0059(b),IN Brain-0062(a)
7,IN Brain-0013(a),IN Brain-0067,IN Brain-0062(b)
8,IN Brain-0021,IN Brain-0072(b),IN Brain-0064(a)
9,IN Brain-0024,IN Brain-0073(a),IN Brain-0066
10,IN Brain-0025(a),IN Brain-0075,IN Brain-0094(d)
11,IN Brain-0025(b),IN Brain-0086(a),IN Brain-0095(a)
12,IN Brain-0029(a),IN Brain-0086(c),IN Brain-0102(a)
13,IN Brain-0029(c),IN Brain-0088(a),IN Brain-0109(b)
14,IN Brain-0031(a),IN Brain-0095(c),IN Brain-0114(a)
15,IN Brain-0031(b),IN Brain-0098(a),IN Brain-0118(b)
16,IN Brain-0031(c),IN Brain-0100,IN Brain-0126
17,IN Brain-0031(d),IN Brain-0106,IN Brain-0137
18,IN Brain-0034,IN Brain-0109(a),IN Brain-0150
19,IN Brain-0035(a),IN Brain-0113,IN Brain-0161(a)
20,IN Brain-0035(b),IN Brain-0145,IN Brain-0172
21,IN Brain-0036(a),IN Brain-0153,IN Brain-0178
22,IN Brain-0036(b),IN Brain-0161(b),IN Brain-0186(a)
23,IN Brain-0038,IN Brain-0171(a),IN Brain-0186(b)
24,IN Brain-0039,IN Brain-0181(b),IN Brain-0187(b)
25,IN Brain-0040(a),IN Brain-0209(b),IN Brain-0194(b)
26,IN Brain-0041(b),IN Brain-0220,IN Brain-0195
27,IN Brain-0042,IN Brain-0223,IN Brain-0196(b)
28,IN Brain-0044(b),IN Brain-0224,IN Brain-0199
29,IN Brain-0045,IN Brain-0235(a),IN Brain-0216(b)
30,IN Brain-0046,IN Brain-0238(b),IN Brain-0219
31,IN Brain-0047,IN Brain-0247,IN Brain-0221
32,IN Brain-0048,IN Brain-0252(b),IN Brain-0225
33,IN Brain-0050(a),IN Brain-0260(a),IN Brain-0231
34,IN Brain-0050(b),IN Brain-0276,IN Brain-0235(b)
35,IN Brain-0052(a),IN Brain-0281,IN Brain-0237(b)
36,IN Brain-0052(b),IN Brain-0289,IN Brain-0246
37,IN Brain-0052(c),IN Brain-0291,IN Brain-0252(a)
38,IN Brain-0056,IN Brain-0304,IN Brain-0260(b)
39,IN Brain-0057,IN Brain-0319,IN Brain-0261(a)
40,IN Brain-0058(a),IN Brain-0330(a),IN Brain-0265(b)
41,IN Brain-0058(b),IN Brain-0344,IN Brain-0269
42,IN Brain-0059(a),IN Brain-0347,IN Brain-0270
43,IN Brain-0059(c),IN Brain-0349,IN Brain-0287
44,IN Brain-0060,IN Brain-0358,IN Brain-0307(b)
45,IN Brain-0061(a),IN Brain-0363(b),IN Brain-0314(a)
46,IN Brain-0063(a),IN Brain-0366,IN Brain-0316(b)
47,IN Brain-0063(b),IN Brain-0367,IN Brain-0360
48,IN Brain-0063(c),,
49,IN Brain-0064(b),,
50,IN Brain-0065,,
51,IN Brain-0068(a),,
52,IN Brain-0068(b),,
53,IN Brain-0069(a),,
54,IN Brain-0069(b),,
55,IN Brain-0070(a),,
56,IN Brain-0070(b),,
57,IN Brain-0071(a),,
58,IN Brain-0071(c),,
59,IN Brain-0072(a),,
60,IN Brain-0072(c),,
61,IN Brain-0072(d),,
62,IN Brain-0073(b),,
63,IN Brain-0074,,
64,IN Brain-0076,,
65,IN Brain-0077(a),,
66,IN Brain-0077(b),,
67,IN Brain-0077(c),,
68,IN Brain-0078,,
69,IN Brain-0079(a),,
70,IN Brain-0079(b),,
71,IN Brain-0080(a),,
72,IN Brain-0080(b),,
73,IN Brain-0081(a),,
74,IN Brain-0081(b),,
75,IN Brain-0082,,
76,IN Brain-0084,,
77,IN Brain-0085(a),,
78,IN Brain-0085(b),,
